Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,29.512501,29.792500,29.020000,29.657499,26.850977,250956400
2015-02-03,29.625000,29.772499,29.402500,29.662500,26.855507,207662800
2015-02-04,29.625000,30.127501,29.577499,29.889999,27.061478,280598800
2015-02-05,30.004999,30.057501,29.812500,29.985001,27.254629,168984800
2015-02-06,30.004999,30.062500,29.612499,29.732500,27.025124,174826400
2015-02-09,29.637501,29.959999,29.607500,29.930000,27.204636,155559200
2015-02-10,30.042500,30.537500,30.040001,30.504999,27.727276,248034000
2015-02-11,30.692499,31.230000,30.625000,31.219999,28.377167,294247200
2015-02-12,31.514999,31.870001,31.392500,31.615000,28.736200,297898000
2015-02-13,31.820000,31.820000,31.412500,31.770000,28.877090,217088800
2015-02-17,31.872499,32.220001,31.730000,31.957500,29.047514,252609600
2015-02-18,31.907499,32.195000,31.862499,32.180000,29.249752,179566800
2015-02-19,32.119999,32.257500,32.082500,32.112499,29.188402,149449600
2015-02-20,32.154999,32.375000,32.012501,32.375000,29.427002,195793600
2015-02-23,32.505001,33.250000,32.415001,33.250000,30.222328,283896400
2015-02-24,33.235001,33.400002,32.792500,33.042500,30.033710,276912400
2015-02-25,32.889999,32.900002,32.037498,32.197498,29.265659,298846800
2015-02-26,32.197498,32.717499,31.652500,32.605000,29.636053,365150000
2015-02-27,32.500000,32.642502,32.060001,32.115002,29.190680,248059200
2015-03-02,32.312500,32.570000,32.075001,32.272499,29.333832,192386800
2015-03-03,32.240002,32.380001,32.022499,32.340000,29.395189,151265200
2015-03-04,32.275002,32.389999,32.080002,32.134998,29.208845,126665200
2015-03-05,32.145000,32.187500,31.440001,31.602501,28.724844,226068400
2015-03-06,32.099998,32.342499,31.565001,31.650000,28.768019,291368400
2015-03-09,31.990000,32.392502,31.264999,31.785000,28.890722,354114000
2015-03-10,31.602501,31.805000,30.950001,31.127501,28.293095,275426400
2015-03-11,31.187500,31.192499,30.527500,30.559999,27.777275,275756000
2015-03-12,30.577499,31.225000,30.407499,31.112499,28.279461,193450800
2015-03-13,31.100000,31.350000,30.645000,30.897499,28.084034,207309200
2015-03-16,30.969999,31.237499,30.717501,31.237499,28.393076,143497200
2015-03-17,31.475000,31.830000,31.412500,31.760000,28.867996,204092400
2015-03-18,31.750000,32.290001,31.592501,32.117500,29.192949,261083600
2015-03-19,32.187500,32.312500,31.850000,31.875000,28.972530,183238000
